curso_academico,poblacion,des_provincia_centro_sec,nota_media,nota_minima,nota_maxima,percentil_25,percentil_50,percentil_75
2018-19,Moderadamente densa,Ávila,10.233724137931036,6.72,13.35,8.658999999999999,10.3995,11.83175
2018-19,Moderadamente densa,Gipuzkoa,11.160727272727273,8.0,12.992,9.575,12.356,12.97
2018-19,Moderadamente densa,Málaga,10.606365853658536,5.062,13.72,9.413,10.864,11.98275
2018-19,Moderadamente densa,Cáceres,11.198637931034481,6.7,13.9,9.977,11.432500000000001,12.73325
2018-19,Moderadamente densa,Soria,9.28435668789809,5.057,13.46,7.569,9.014,10.936
2018-19,Moderadamente densa,Jaén,10.775454545454547,6.46,13.37,10.194,11.243,12.151
2018-19,Moderadamente densa,Huesca,10.589454545454545,6.93,13.38,9.996,10.386,11.1965
2018-19,Moderadamente densa,Castellón,10.786000000000001,6.734,12.522,10.9135,11.032,12.1495
2018-19,Moderadamente densa,Alicante,9.876853211009175,5.81,13.439,8.43,9.984,11.3
2018-19,Moderadamente densa,Ceuta,10.557611111111111,5.234,13.576,9.2105,10.224499999999999,12.304
2018-19,Moderadamente densa,Palencia,8.445618677042802,5.031,13.35,6.998,8.11,9.762
2018-19,Moderadamente densa,Badajoz,11.096575757575758,5.664,13.809,9.5505,11.5915,12.818249999999999
2018-19,Moderadamente densa,Asturias,8.502,8.502,8.502,8.502,8.502,8.502
2018-19,Moderadamente densa,Orense,,,,,,
2018-19,Moderadamente densa,Granada,11.442749999999998,9.867,13.311,11.1825,11.207,11.58625
2018-19,Moderadamente densa,Lugo,10.375894736842104,5.926,13.35,8.5915,10.182,12.402000000000001
2018-19,Moderadamente densa,Bizkaia,9.0754,5.381,12.492,7.457000000000001,9.036,10.882
2018-19,Moderadamente densa,Almería,11.117782608695652,7.064,13.535,10.794,11.495,12.152999999999999
2018-19,Moderadamente densa,Valencia,10.1843125,5.57,12.642,8.888000000000002,10.896,11.679
2018-19,Moderadamente densa,Melilla,10.190230769230768,6.241,12.689,9.254,10.822,11.605
2018-19,Moderadamente densa,Cuenca,10.21227868852459,5.272,13.7,8.646,10.421,12.294
2018-19,Moderadamente densa,La Coruña,10.11125,6.036,12.95,8.7595,10.731,11.7175
2018-19,Moderadamente densa,Navarra,11.19825925925926,6.562,13.414,10.1845,11.851,12.491
2018-19,Moderadamente densa,Sevilla,11.000608695652174,6.293,13.389,9.872499999999999,11.244,12.246
2018-19,Moderadamente densa,Barcelona,9.184571428571429,6.772,12.23,7.773,9.256,10.3005
2018-19,Moderadamente densa,Tarragona,9.933333333333334,8.626,12.034,8.883,9.14,10.587
2018-19,Moderadamente densa,Zamora,10.356344827586208,5.314,13.117,9.131,10.581,11.827
2018-19,Moderadamente densa,Lérida,,,,,,
2018-19,Moderadamente densa,Teruel,10.164250000000001,7.12,12.823,8.7235,10.331,11.511
2018-19,Moderadamente densa,Gerona,8.8575,6.27,10.018,8.4105,9.571000000000002,10.018
2018-19,Moderadamente densa,Global,9.782055860277136,5.0,13.975,8.31075,9.851500000000001,11.32925
2018-19,Muy densa,Córdoba,,,,,,
2018-19,Muy densa,Madrid,9.494197916666666,5.01,13.975,8.016,9.5,10.9945
2018-19,Muy densa,Salamanca,,,,,,
2018-19,Muy densa,Zaragoza,10.537618705035971,5.418,13.773,9.244,10.841,11.902
2018-19,Muy densa,Burgos,,,,,,
2018-19,Muy densa,Toledo,,,,,,
2018-19,Muy densa,León,,,,,,
2018-19,Muy densa,Cádiz,,,,,,
2018-19,Muy densa,Las Palmas,,,,,,
2018-19,Muy densa,Guadalajara,,,,,,
2018-19,Muy densa,Baleares,,,,,,
2018-19,Muy densa,Ciudad Real,,,,,,
2018-19,Muy densa,Pontevedra,,,,,,
2018-19,Muy densa,Álava,,,,,,
2018-19,Muy densa,Segovia,,,,,,
2018-19,Muy densa,Albacete,,,,,,
2018-19,Muy densa,Santa Cruz de Tenerife,,,,,,
2018-19,Muy densa,Murcia,,,,,,
2018-19,Muy densa,Valladolid,,,,,,
2018-19,Muy densa,Cantabria,,,,,,
2018-19,Muy densa,La Rioja,,,,,,
